petromag_u,petromag_g,petromag_r,petromag_i,petromag_z,petror50_r,petror90_r,concentration,devab_r,u_g,g_r,r_i,i_z,target
19.429712,17.750317,16.806812,16.387203,15.982478,2.22731,7.108982,3.191734424036169,0.870882,1.6793949999999995,0.9435049999999983,0.41960900000000123,0.4047249999999991,elliptical
18.354195,16.69224,15.577782,15.147645,14.864745,4.048618,12.891944,3.184282636692323,0.916471,1.661954999999999,1.1144580000000026,0.43013699999999844,0.2829000000000015,elliptical
18.773937,17.536463,16.973509,16.657076,16.464788,2.550787,5.946054,2.331066451256024,0.849789,1.2374739999999989,0.5629540000000013,0.31643299999999996,0.19228800000000135,elliptical
17.720695,15.848548,14.96851,14.521853,14.230892,3.089842,9.312412,3.0138796741063136,0.560673,1.872147,0.880037999999999,0.4466570000000001,0.29096099999999936,elliptical
18.985338,17.178267,16.26939,15.827164,15.497714,2.422553,8.177026,3.375375481981199,0.705608,1.807070999999997,0.9088770000000004,0.44222600000000156,0.3294499999999996,elliptical
19.994741,18.151133,17.06473,16.649132,16.345592,1.853185,6.003045,3.2393123190615074,0.696589,1.8436079999999997,1.0864030000000007,0.41559799999999925,0.3035400000000017,elliptical
18.75227,17.102577,15.972512,15.535778,15.249505,4.411023,14.015281,3.1773311995879414,0.886759,1.6496929999999992,1.130065,0.4367339999999995,0.28627300000000133,elliptical
18.468792,16.974627,16.23423,15.875985,15.626054,3.248558,8.886387,2.735486637455757,0.507171,1.4941649999999989,0.7403970000000015,0.35824500000000015,0.24993100000000013,elliptical
18.822237,17.177259,16.169199,15.742378,15.398805,3.253867,10.106644,3.106040904560635,0.758396,1.6449780000000018,1.0080600000000004,0.42682099999999856,0.343573000000001,elliptical
19.447752,17.524908,16.523968,16.086977,15.760052,1.463138,4.849194,3.314242402288779,0.682201,1.9228440000000013,1.00094,0.436990999999999,0.326925000000001,elliptical
18.184477,16.955807,16.248493,15.876027,15.665791,2.70628,7.248678,2.6784656428750906,0.73587,1.228670000000001,0.7073140000000002,0.3724659999999993,0.2102360000000001,spiral
19.521576,17.583601,16.56496,16.124027,15.744932,2.071527,6.128472,2.958432113122349,0.718271,1.937974999999998,1.0186410000000024,0.4409329999999976,0.3790950000000013,elliptical
19.52688,17.748116,16.864485,16.423504,16.150061,2.22343,5.938198,2.670737554139325,0.805271,1.778763999999999,0.8836310000000012,0.4409809999999972,0.2734430000000003,elliptical
18.762678,17.424183,16.81736,16.485449,16.198874,1.74296,5.003945,2.8709465506953684,0.377206,1.3384950000000018,0.6068229999999986,0.3319110000000016,0.28657499999999914,elliptical
20.047823,18.029987,17.045603,16.611946,16.284168,1.830784,5.312183,2.901589155247151,0.652859,2.0178360000000026,0.9843839999999986,0.4336570000000002,0.32777799999999857,elliptical
17.961222,16.808743,16.264999,15.961549,15.833502,3.224206,10.140628,3.145155117259877,0.545516,1.1524789999999996,0.5437440000000002,0.3034499999999998,0.12804700000000047,spiral
19.326902,17.598553,16.811985,16.389757,16.168974,2.950933,7.404915,2.5093470437993677,0.577564,1.7283490000000015,0.786567999999999,0.4222280000000005,0.22078300000000084,spiral
19.614473,17.768387,16.69821,16.24539,15.938695,2.388152,7.813238,3.271666962571897,0.652964,1.8460859999999997,1.070177000000001,0.4528199999999991,0.30669500000000127,elliptical
18.367325,17.210447,16.806759,16.557487,16.650871,5.431148,12.627006,2.3249239387326583,0.949484,1.1568780000000025,0.40368799999999894,0.24927200000000127,-0.09338400000000036,spiral
17.317604,15.724499,14.924367,14.540274,14.272756,3.695169,11.186731,3.0273936050015573,0.740446,1.5931049999999995,0.8001319999999996,0.384093,0.2675180000000008,elliptical
19.224087,17.742655,16.945599,16.545027,16.266584,2.63884,5.799775,2.197850191750921,0.546568,1.4814320000000016,0.7970559999999978,0.40057200000000037,0.27844299999999933,elliptical
19.02714,17.664232,16.860233,16.430725,16.258495,1.938941,6.541055,3.3735193592791117,0.845107,1.362908000000001,0.8039989999999975,0.429508000000002,0.172229999999999,elliptical
18.636658,16.961964,16.117899,15.65746,15.311116,3.808956,9.460855,2.48384465454576,0.383757,1.6746940000000023,0.844064999999997,0.46043900000000093,0.3463440000000002,spiral
19.810101,18.147041,17.099066,16.644957,16.363789,2.110688,6.681038,3.1653366106217495,0.835663,1.663059999999998,1.047975000000001,0.454108999999999,0.281168000000001,elliptical
19.173048,17.184723,16.144156,15.700046,15.397542,3.343568,10.207478,3.0528698683561992,0.690901,1.9883249999999997,1.040567000000003,0.44410999999999845,0.3025040000000008,elliptical
18.210558,17.236433,16.982861,16.737528,16.696815,1.360917,3.22653,2.3708499489682326,0.625306,0.9741249999999972,0.2535720000000019,0.2453329999999987,0.04071300000000022,elliptical
17.276587,15.857486,15.145779,14.794721,14.529283,2.072556,5.712663,2.7563371025921617,0.590696,1.4191009999999995,0.7117070000000005,0.3510580000000001,0.2654379999999996,elliptical
18.751104,17.333147,16.577003,16.134039,15.8814,2.381599,5.228733,2.195471613819119,0.425311,1.4179570000000012,0.756143999999999,0.4429639999999999,0.25263900000000206,elliptical
19.460037,18.093931,16.968327,16.53993,16.266968,2.679577,7.828154,2.9214140888655185,0.899273,1.3661059999999985,1.1256040000000027,0.42839700000000036,0.2729619999999997,elliptical
16.791754,14.882674,14.100818,13.737014,13.59129,8.707057,22.286255,2.559562318243696,0.761872,1.9090800000000012,0.7818559999999994,0.363804,0.14572399999999952,spiral
20.526436,18.403204,16.880573,16.40053,16.164185,3.418789,10.337704,3.023791172839272,0.685862,2.1232320000000016,1.5226310000000005,0.48004299999999844,0.23634500000000003,elliptical
19.590261,17.848389,16.815147,16.382915,16.067774,2.132137,6.155301,2.886916272265806,0.852701,1.7418720000000008,1.0332420000000013,0.43223199999999906,0.31514100000000056,elliptical
19.254879,17.416862,16.520084,16.098835,15.765972,1.600712,4.67325,2.9194820804741894,0.404599,1.8380170000000007,0.8967779999999976,0.42124899999999954,0.33286300000000146,elliptical
